,frontendId,title,titleSlug,difficulty,lastSubmittedAt,numSubmitted,questionStatus,lastResult,topicTags
0,96,Unique Binary Search Trees,unique-binary-search-trees,MEDIUM,2025-12-31T11:52:30+00:00,1,SOLVED,AC,"[{'name': 'Math', 'slug': 'math'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming'}, {'name': 'Tree', 'slug': 'tree'}, {'name': 'Binary Search Tree', 'slug': 'binary-search-tree'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
1,2476,Closest Nodes Queries in a Binary Search Tree,closest-nodes-queries-in-a-binary-search-tree,MEDIUM,2025-12-30T07:30:18+00:00,2,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Binary Search', 'slug': 'binary-search'}, {'name': 'Tree', 'slug': 'tree'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Binary Search Tree', 'slug': 'binary-search-tree'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
2,756,Pyramid Transition Matrix,pyramid-transition-matrix,MEDIUM,2025-12-29T14:29:37+00:00,2,SOLVED,AC,"[{'name': 'Hash Table', 'slug': 'hash-table'}, {'name': 'String', 'slug': 'string'}, {'name': 'Backtracking', 'slug': 'backtracking'}, {'name': 'Bit Manipulation', 'slug': 'bit-manipulation'}]"
3,1351,Count Negative Numbers in a Sorted Matrix,count-negative-numbers-in-a-sorted-matrix,EASY,2025-12-28T07:23:43+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Binary Search', 'slug': 'binary-search'}, {'name': 'Matrix', 'slug': 'matrix'}]"
4,414,Third Maximum Number,third-maximum-number,EASY,2025-12-27T14:17:54+00:00,2,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Sorting', 'slug': 'sorting'}]"
5,2410,Maximum Matching of Players With Trainers,maximum-matching-of-players-with-trainers,MEDIUM,2025-12-26T12:24:39+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Two Pointers', 'slug': 'two-pointers'}, {'name': 'Greedy', 'slug': 'greedy'}, {'name': 'Sorting', 'slug': 'sorting'}]"
6,455,Assign Cookies,assign-cookies,EASY,2025-12-26T12:23:29+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Two Pointers', 'slug': 'two-pointers'}, {'name': 'Greedy', 'slug': 'greedy'}, {'name': 'Sorting', 'slug': 'sorting'}]"
7,42,Trapping Rain Water,trapping-rain-water,HARD,2025-12-25T10:50:52+00:00,2,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Two Pointers', 'slug': 'two-pointers'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming'}, {'name': 'Stack', 'slug': 'stack'}, {'name': 'Monotonic Stack', 'slug': 'monotonic-stack'}]"
8,3075,Maximize Happiness of Selected Children,maximize-happiness-of-selected-children,MEDIUM,2025-12-25T09:05:18+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Greedy', 'slug': 'greedy'}, {'name': 'Sorting', 'slug': 'sorting'}]"
9,3074,Apple Redistribution into Boxes,apple-redistribution-into-boxes,EASY,2025-12-24T06:40:25+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Greedy', 'slug': 'greedy'}, {'name': 'Sorting', 'slug': 'sorting'}]"
10,21,Merge Two Sorted Lists,merge-two-sorted-lists,EASY,2025-12-23T15:57:10+00:00,3,SOLVED,AC,"[{'name': 'Linked List', 'slug': 'linked-list'}, {'name': 'Recursion', 'slug': 'recursion'}]"
11,493,Reverse Pairs,reverse-pairs,HARD,2025-12-22T06:28:02+00:00,2,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Binary Search', 'slug': 'binary-search'}, {'name': 'Divide and Conquer', 'slug': 'divide-and-conquer'}, {'name': 'Binary Indexed Tree', 'slug': 'binary-indexed-tree'}, {'name': 'Segment Tree', 'slug': 'segment-tree'}, {'name': 'Merge Sort', 'slug': 'merge-sort'}, {'name': 'Ordered Set', 'slug': 'ordered-set'}]"
12,62,Unique Paths,unique-paths,MEDIUM,2025-12-21T12:11:00+00:00,2,SOLVED,AC,"[{'name': 'Math', 'slug': 'math'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming'}, {'name': 'Combinatorics', 'slug': 'combinatorics'}]"
13,955,Delete Columns to Make Sorted II,delete-columns-to-make-sorted-ii,MEDIUM,2025-12-21T10:56:16+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'String', 'slug': 'string'}, {'name': 'Greedy', 'slug': 'greedy'}]"
14,944,Delete Columns to Make Sorted,delete-columns-to-make-sorted,EASY,2025-12-20T12:37:54+00:00,2,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'String', 'slug': 'string'}]"
15,733,Flood Fill,flood-fill,EASY,2025-12-19T12:28:50+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Breadth-First Search', 'slug': 'breadth-first-search'}, {'name': 'Matrix', 'slug': 'matrix'}]"
16,210,Course Schedule II,course-schedule-ii,MEDIUM,2025-12-19T12:13:47+00:00,3,SOLVED,AC,"[{'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Breadth-First Search', 'slug': 'breadth-first-search'}, {'name': 'Graph', 'slug': 'graph'}, {'name': 'Topological Sort', 'slug': 'topological-sort'}]"
17,207,Course Schedule,course-schedule,MEDIUM,2025-12-19T11:51:10+00:00,1,SOLVED,AC,"[{'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Breadth-First Search', 'slug': 'breadth-first-search'}, {'name': 'Graph', 'slug': 'graph'}, {'name': 'Topological Sort', 'slug': 'topological-sort'}]"
18,994,Rotting Oranges,rotting-oranges,MEDIUM,2025-12-19T11:02:57+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Breadth-First Search', 'slug': 'breadth-first-search'}, {'name': 'Matrix', 'slug': 'matrix'}]"
19,200,Number of Islands,number-of-islands,MEDIUM,2025-12-18T11:24:08+00:00,2,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Breadth-First Search', 'slug': 'breadth-first-search'}, {'name': 'Union Find', 'slug': 'union-find'}, {'name': 'Matrix', 'slug': 'matrix'}]"
20,389,Find the Difference,find-the-difference,EASY,2025-12-17T14:15:51+00:00,2,SOLVED,AC,"[{'name': 'Hash Table', 'slug': 'hash-table'}, {'name': 'String', 'slug': 'string'}, {'name': 'Bit Manipulation', 'slug': 'bit-manipulation'}, {'name': 'Sorting', 'slug': 'sorting'}]"
21,374,Guess Number Higher or Lower,guess-number-higher-or-lower,EASY,2025-12-16T15:03:03+00:00,1,SOLVED,AC,"[{'name': 'Binary Search', 'slug': 'binary-search'}, {'name': 'Interactive', 'slug': 'interactive'}]"
22,367,Valid Perfect Square,valid-perfect-square,EASY,2025-12-15T15:04:25+00:00,3,SOLVED,AC,"[{'name': 'Math', 'slug': 'math'}, {'name': 'Binary Search', 'slug': 'binary-search'}]"
23,345,Reverse Vowels of a String,reverse-vowels-of-a-string,EASY,2025-12-14T16:27:37+00:00,1,SOLVED,AC,"[{'name': 'Two Pointers', 'slug': 'two-pointers'}, {'name': 'String', 'slug': 'string'}]"
24,13,Roman to Integer,roman-to-integer,EASY,2025-12-13T14:30:42+00:00,1,SOLVED,AC,"[{'name': 'Hash Table', 'slug': 'hash-table'}, {'name': 'Math', 'slug': 'math'}, {'name': 'String', 'slug': 'string'}]"
25,6,Zigzag Conversion,zigzag-conversion,MEDIUM,2025-12-12T16:43:00+00:00,1,SOLVED,AC,"[{'name': 'String', 'slug': 'string'}]"
26,120,Triangle,triangle,MEDIUM,2025-12-11T16:51:16+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming'}]"
27,113,Path Sum II,path-sum-ii,MEDIUM,2025-12-10T09:48:48+00:00,1,SOLVED,AC,"[{'name': 'Backtracking', 'slug': 'backtracking'}, {'name': 'Tree', 'slug': 'tree'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
28,1925,Count Square Sum Triples,count-square-sum-triples,EASY,2025-12-08T11:27:17+00:00,1,SOLVED,AC,"[{'name': 'Math', 'slug': 'math'}, {'name': 'Enumeration', 'slug': 'enumeration'}]"
29,199,Binary Tree Right Side View,binary-tree-right-side-view,MEDIUM,2025-12-07T11:06:49+00:00,1,SOLVED,AC,"[{'name': 'Tree', 'slug': 'tree'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Breadth-First Search', 'slug': 'breadth-first-search'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
30,1523,Count Odd Numbers in an Interval Range,count-odd-numbers-in-an-interval-range,EASY,2025-12-07T10:38:54+00:00,1,SOLVED,AC,"[{'name': 'Math', 'slug': 'math'}]"
31,349,Intersection of Two Arrays,intersection-of-two-arrays,EASY,2025-12-06T16:25:47+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Hash Table', 'slug': 'hash-table'}, {'name': 'Two Pointers', 'slug': 'two-pointers'}, {'name': 'Binary Search', 'slug': 'binary-search'}, {'name': 'Sorting', 'slug': 'sorting'}]"
32,3432,Count Partitions with Even Sum Difference,count-partitions-with-even-sum-difference,EASY,2025-12-05T17:52:33+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Math', 'slug': 'math'}, {'name': 'Prefix Sum', 'slug': 'prefix-sum'}]"
33,217,Contains Duplicate,contains-duplicate,EASY,2025-12-04T15:49:28+00:00,2,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Hash Table', 'slug': 'hash-table'}, {'name': 'Sorting', 'slug': 'sorting'}]"
34,326,Power of Three,power-of-three,EASY,2025-12-03T18:16:31+00:00,2,SOLVED,AC,"[{'name': 'Math', 'slug': 'math'}, {'name': 'Recursion', 'slug': 'recursion'}]"
35,81,Search in Rotated Sorted Array II,search-in-rotated-sorted-array-ii,MEDIUM,2025-12-02T16:09:37+00:00,2,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Binary Search', 'slug': 'binary-search'}]"
36,202,Happy Number,happy-number,EASY,2025-12-01T17:31:00+00:00,1,SOLVED,AC,"[{'name': 'Hash Table', 'slug': 'hash-table'}, {'name': 'Math', 'slug': 'math'}, {'name': 'Two Pointers', 'slug': 'two-pointers'}]"
37,189,Rotate Array,rotate-array,MEDIUM,2025-11-30T12:15:34+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Math', 'slug': 'math'}, {'name': 'Two Pointers', 'slug': 'two-pointers'}]"
38,3512,Minimum Operations to Make Array Sum Divisible by K,minimum-operations-to-make-array-sum-divisible-by-k,EASY,2025-11-29T13:25:47+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Math', 'slug': 'math'}]"
39,147,Insertion Sort List,insertion-sort-list,MEDIUM,2025-11-28T17:39:48+00:00,1,SOLVED,AC,"[{'name': 'Linked List', 'slug': 'linked-list'}, {'name': 'Sorting', 'slug': 'sorting'}]"
40,148,Sort List,sort-list,MEDIUM,2025-11-27T16:04:19+00:00,2,SOLVED,AC,"[{'name': 'Linked List', 'slug': 'linked-list'}, {'name': 'Two Pointers', 'slug': 'two-pointers'}, {'name': 'Divide and Conquer', 'slug': 'divide-and-conquer'}, {'name': 'Sorting', 'slug': 'sorting'}, {'name': 'Merge Sort', 'slug': 'merge-sort'}]"
41,912,Sort an Array,sort-an-array,MEDIUM,2025-11-26T04:53:25+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Divide and Conquer', 'slug': 'divide-and-conquer'}, {'name': 'Sorting', 'slug': 'sorting'}, {'name': 'Heap (Priority Queue)', 'slug': 'heap-priority-queue'}, {'name': 'Merge Sort', 'slug': 'merge-sort'}, {'name': 'Bucket Sort', 'slug': 'bucket-sort'}, {'name': 'Radix Sort', 'slug': 'radix-sort'}, {'name': 'Counting Sort', 'slug': 'counting-sort'}]"
42,1015,Smallest Integer Divisible by K,smallest-integer-divisible-by-k,MEDIUM,2025-11-25T13:21:21+00:00,2,SOLVED,AC,"[{'name': 'Hash Table', 'slug': 'hash-table'}, {'name': 'Math', 'slug': 'math'}]"
43,1018,Binary Prefix Divisible By 5,binary-prefix-divisible-by-5,EASY,2025-11-24T14:04:25+00:00,2,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Bit Manipulation', 'slug': 'bit-manipulation'}]"
44,80,Remove Duplicates from Sorted Array II,remove-duplicates-from-sorted-array-ii,MEDIUM,2025-11-23T14:30:44+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Two Pointers', 'slug': 'two-pointers'}]"
45,38,Count and Say,count-and-say,MEDIUM,2025-11-23T13:52:20+00:00,1,SOLVED,AC,"[{'name': 'String', 'slug': 'string'}]"
46,50,"Pow(x, n)",powx-n,MEDIUM,2025-11-22T15:34:14+00:00,2,SOLVED,AC,"[{'name': 'Math', 'slug': 'math'}, {'name': 'Recursion', 'slug': 'recursion'}]"
47,1930,Unique Length-3 Palindromic Subsequences,unique-length-3-palindromic-subsequences,MEDIUM,2025-11-21T13:22:36+00:00,1,SOLVED,AC,"[{'name': 'Hash Table', 'slug': 'hash-table'}, {'name': 'String', 'slug': 'string'}, {'name': 'Bit Manipulation', 'slug': 'bit-manipulation'}, {'name': 'Prefix Sum', 'slug': 'prefix-sum'}]"
48,2200,Find All K-Distant Indices in an Array,find-all-k-distant-indices-in-an-array,EASY,2025-11-20T13:47:56+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Two Pointers', 'slug': 'two-pointers'}]"
49,2154,Keep Multiplying Found Values by Two,keep-multiplying-found-values-by-two,EASY,2025-11-19T14:13:02+00:00,2,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Hash Table', 'slug': 'hash-table'}, {'name': 'Sorting', 'slug': 'sorting'}, {'name': 'Simulation', 'slug': 'simulation'}]"
50,717,1-bit and 2-bit Characters,1-bit-and-2-bit-characters,EASY,2025-11-18T12:57:27+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}]"
51,1437,Check If All 1's Are at Least Length K Places Away,check-if-all-1s-are-at-least-length-k-places-away,EASY,2025-11-17T12:34:20+00:00,3,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}]"
52,109,Convert Sorted List to Binary Search Tree,convert-sorted-list-to-binary-search-tree,MEDIUM,2025-11-16T12:43:58+00:00,1,SOLVED,AC,"[{'name': 'Linked List', 'slug': 'linked-list'}, {'name': 'Divide and Conquer', 'slug': 'divide-and-conquer'}, {'name': 'Tree', 'slug': 'tree'}, {'name': 'Binary Search Tree', 'slug': 'binary-search-tree'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
53,173,Binary Search Tree Iterator,binary-search-tree-iterator,MEDIUM,2025-11-15T10:34:11+00:00,1,SOLVED,AC,"[{'name': 'Stack', 'slug': 'stack'}, {'name': 'Tree', 'slug': 'tree'}, {'name': 'Design', 'slug': 'design'}, {'name': 'Binary Search Tree', 'slug': 'binary-search-tree'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}, {'name': 'Iterator', 'slug': 'iterator'}]"
54,450,Delete Node in a BST,delete-node-in-a-bst,MEDIUM,2025-11-14T16:34:32+00:00,1,SOLVED,AC,"[{'name': 'Tree', 'slug': 'tree'}, {'name': 'Binary Search Tree', 'slug': 'binary-search-tree'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
55,99,Recover Binary Search Tree,recover-binary-search-tree,MEDIUM,2025-11-14T13:24:10+00:00,1,SOLVED,AC,"[{'name': 'Tree', 'slug': 'tree'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Binary Search Tree', 'slug': 'binary-search-tree'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
56,617,Merge Two Binary Trees,merge-two-binary-trees,EASY,2025-11-14T12:45:47+00:00,2,SOLVED,AC,"[{'name': 'Tree', 'slug': 'tree'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Breadth-First Search', 'slug': 'breadth-first-search'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
57,1008,Construct Binary Search Tree from Preorder Traversal,construct-binary-search-tree-from-preorder-traversal,MEDIUM,2025-11-13T15:44:30+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Stack', 'slug': 'stack'}, {'name': 'Tree', 'slug': 'tree'}, {'name': 'Binary Search Tree', 'slug': 'binary-search-tree'}, {'name': 'Monotonic Stack', 'slug': 'monotonic-stack'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
58,235,Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,MEDIUM,2025-11-13T15:12:18+00:00,2,SOLVED,AC,"[{'name': 'Tree', 'slug': 'tree'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Binary Search Tree', 'slug': 'binary-search-tree'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
59,230,Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,MEDIUM,2025-11-12T12:43:14+00:00,1,SOLVED,AC,"[{'name': 'Tree', 'slug': 'tree'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Binary Search Tree', 'slug': 'binary-search-tree'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
60,530,Minimum Absolute Difference in BST,minimum-absolute-difference-in-bst,EASY,2025-11-11T16:40:06+00:00,1,SOLVED,AC,"[{'name': 'Tree', 'slug': 'tree'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Breadth-First Search', 'slug': 'breadth-first-search'}, {'name': 'Binary Search Tree', 'slug': 'binary-search-tree'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
61,783,Minimum Distance Between BST Nodes,minimum-distance-between-bst-nodes,EASY,2025-11-11T16:37:16+00:00,1,SOLVED,AC,"[{'name': 'Tree', 'slug': 'tree'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Breadth-First Search', 'slug': 'breadth-first-search'}, {'name': 'Binary Search Tree', 'slug': 'binary-search-tree'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
62,98,Validate Binary Search Tree,validate-binary-search-tree,MEDIUM,2025-11-11T16:10:10+00:00,1,SOLVED,AC,"[{'name': 'Tree', 'slug': 'tree'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Binary Search Tree', 'slug': 'binary-search-tree'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
63,108,Convert Sorted Array to Binary Search Tree,convert-sorted-array-to-binary-search-tree,EASY,2025-11-11T15:47:58+00:00,2,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Divide and Conquer', 'slug': 'divide-and-conquer'}, {'name': 'Tree', 'slug': 'tree'}, {'name': 'Binary Search Tree', 'slug': 'binary-search-tree'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
64,114,Flatten Binary Tree to Linked List,flatten-binary-tree-to-linked-list,MEDIUM,2025-11-10T16:36:16+00:00,1,SOLVED,AC,"[{'name': 'Linked List', 'slug': 'linked-list'}, {'name': 'Stack', 'slug': 'stack'}, {'name': 'Tree', 'slug': 'tree'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
65,662,Maximum Width of Binary Tree,maximum-width-of-binary-tree,MEDIUM,2025-11-10T15:38:51+00:00,2,SOLVED,AC,"[{'name': 'Tree', 'slug': 'tree'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Breadth-First Search', 'slug': 'breadth-first-search'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
66,107,Binary Tree Level Order Traversal II,binary-tree-level-order-traversal-ii,MEDIUM,2025-11-09T12:57:12+00:00,2,SOLVED,AC,"[{'name': 'Tree', 'slug': 'tree'}, {'name': 'Breadth-First Search', 'slug': 'breadth-first-search'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
67,103,Binary Tree Zigzag Level Order Traversal,binary-tree-zigzag-level-order-traversal,MEDIUM,2025-11-09T12:55:56+00:00,2,SOLVED,CE,"[{'name': 'Tree', 'slug': 'tree'}, {'name': 'Breadth-First Search', 'slug': 'breadth-first-search'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
68,117,Populating Next Right Pointers in Each Node II,populating-next-right-pointers-in-each-node-ii,MEDIUM,2025-11-08T09:38:00+00:00,1,SOLVED,AC,"[{'name': 'Linked List', 'slug': 'linked-list'}, {'name': 'Tree', 'slug': 'tree'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Breadth-First Search', 'slug': 'breadth-first-search'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
69,116,Populating Next Right Pointers in Each Node,populating-next-right-pointers-in-each-node,MEDIUM,2025-11-07T13:52:14+00:00,1,SOLVED,AC,"[{'name': 'Linked List', 'slug': 'linked-list'}, {'name': 'Tree', 'slug': 'tree'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Breadth-First Search', 'slug': 'breadth-first-search'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
70,111,Minimum Depth of Binary Tree,minimum-depth-of-binary-tree,EASY,2025-11-06T07:14:15+00:00,2,SOLVED,AC,"[{'name': 'Tree', 'slug': 'tree'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Breadth-First Search', 'slug': 'breadth-first-search'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
71,1,Two Sum,two-sum,EASY,2025-11-05T14:43:55+00:00,5,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Hash Table', 'slug': 'hash-table'}]"
72,257,Binary Tree Paths,binary-tree-paths,EASY,2025-11-04T14:40:32+00:00,1,SOLVED,AC,"[{'name': 'String', 'slug': 'string'}, {'name': 'Backtracking', 'slug': 'backtracking'}, {'name': 'Tree', 'slug': 'tree'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
73,105,Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,MEDIUM,2025-11-04T14:24:01+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Hash Table', 'slug': 'hash-table'}, {'name': 'Divide and Conquer', 'slug': 'divide-and-conquer'}, {'name': 'Tree', 'slug': 'tree'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
74,236,Lowest Common Ancestor of a Binary Tree,lowest-common-ancestor-of-a-binary-tree,MEDIUM,2025-11-04T13:56:01+00:00,2,SOLVED,AC,"[{'name': 'Tree', 'slug': 'tree'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
75,112,Path Sum,path-sum,EASY,2025-11-03T09:54:08+00:00,1,SOLVED,AC,"[{'name': 'Tree', 'slug': 'tree'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Breadth-First Search', 'slug': 'breadth-first-search'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
76,60,Permutation Sequence,permutation-sequence,HARD,2025-11-02T15:58:59+00:00,4,SOLVED,AC,"[{'name': 'Math', 'slug': 'math'}, {'name': 'Recursion', 'slug': 'recursion'}]"
77,40,Combination Sum II,combination-sum-ii,MEDIUM,2025-11-02T07:58:12+00:00,1,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Backtracking', 'slug': 'backtracking'}]"
78,90,Subsets II,subsets-ii,MEDIUM,2025-11-02T07:22:07+00:00,2,SOLVED,AC,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Backtracking', 'slug': 'backtracking'}, {'name': 'Bit Manipulation', 'slug': 'bit-manipulation'}]"
79,110,Balanced Binary Tree,balanced-binary-tree,EASY,2025-11-01T11:47:53+00:00,1,SOLVED,AC,"[{'name': 'Tree', 'slug': 'tree'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
80,322,Coin Change,coin-change,MEDIUM,2025-10-31T14:37:45+00:00,1,ATTEMPTED,TLE,"[{'name': 'Array', 'slug': 'array'}, {'name': 'Dynamic Programming', 'slug': 'dynamic-programming'}, {'name': 'Breadth-First Search', 'slug': 'breadth-first-search'}]"
81,543,Diameter of Binary Tree,diameter-of-binary-tree,EASY,2025-10-30T11:49:12+00:00,1,SOLVED,AC,"[{'name': 'Tree', 'slug': 'tree'}, {'name': 'Depth-First Search', 'slug': 'depth-first-search'}, {'name': 'Binary Tree', 'slug': 'binary-tree'}]"
